Question Type,Question (Hindi),Question (English),Context Keywords,Selected Fillers,Example Transcript
Amount,कितने रुपये का भुगतान किया था?,How much was the payment?,रुपये राशि amount,नोट कर लिया... हाँ नोट कर लिया... बिल्कुल सही नोट कर लिया... हाँ यह जानकारी मिल गई...,5000 रुपये
Amount,भुगतान की राशि क्या थी?,What was the payment amount?,राशि रुपये amount,नोट कर लिया... हाँ नोट कर लिया... बिल्कुल सही नोट कर लिया...,दस हज़ार
Amount,कितनी राशि का भुगतान किया था?,What amount was paid?,राशि रुपये amount,नोट कर लिया... हाँ नोट कर लिया... बिल्कुल सही नोट कर लिया...,पांच हज़ार रुपये
Date,किस तारीख को भुगतान किया था?,On what date was the payment made?,तारीख दिनांक date कब दिसंबर महीने,समझ गया... हाँ जानकारी मिल गई... ठीक है समझ गया... समझ गया जारी रखें...,15 दिसंबर
Date,भुगतान कब किया था?,When was the payment made?,कब तारीख date महीने,समझ गया... हाँ जानकारी मिल गई... ठीक है समझ गया...,पिछले महीने
Date,किस दिनांक को भुगतान किया था?,On what date was the payment made?,दिनांक तारीख date,समझ गया... हाँ जानकारी मिल गई...,20 तारीख को
Payment Mode,भुगतान कैसे किया था?,How was the payment made?,कैसे माध्यम mode ऑनलाइन नकद ब्रांच,समझ रहा है... जी ध्यान से सुन रहा है... बिल्कुल समझ रहा है... समझ रहा है जारी रखें...,ऑनलाइन
Payment Mode,भुगतान का माध्यम क्या था?,What was the payment mode?,माध्यम mode ऑनलाइन नकद ब्रांच,समझ रहा है... जी ध्यान से सुन रहा है... बिल्कुल समझ रहा है...,नकद
Payment Mode,किस माध्यम से भुगतान किया था?,Through which mode was payment made?,माध्यम mode कैसे,समझ रहा है... जी ध्यान से सुन रहा है... बिल्कुल समझ रहा है...,ब्रांच में
Payee,किसने भुगतान किया था?,Who made the payment?,किसने कौन payee,समझ गया... हाँ समझ गया... ठीक है समझ गया... समझ गया आगे बताइए...,मैंने
Payee,कौन भुगतान किया था?,Who paid?,कौन किसने payee,समझ गया... हाँ समझ गया... ठीक है समझ गया...,मेरे पिता ने
Payee,भुगतान किसने किया था?,Who made the payment?,किसने कौन payee,समझ गया... हाँ समझ गया... ठीक है समझ गया...,खुद
Reason,भुगतान का कारण क्या था?,What was the reason for payment?,कारण reason ईएमआई,समझ रहा है... जी हाँ समझ रहा है... बिल्कुल समझ रहा है... समझ रहा है जारी रखें...,ईएमआई
Reason,किस वजह से भुगतान किया था?,For what reason was payment made?,कारण reason वजह,समझ रहा है... जी हाँ समझ रहा है... बिल्कुल समझ रहा है...,सेटलमेंट
Reason,भुगतान क्यों किया था?,Why was payment made?,कारण reason क्यों,समझ रहा है... जी हाँ समझ रहा है... बिल्कुल समझ रहा है...,फोरक्लोजर
Confirmation,क्या यह जानकारी सही है?,Is this information correct?,सही confirmation,बिल्कुल सही... हाँ यह सही जानकारी है... बिल्कुल नोट कर लिया है... हाँ यह जानकारी मिल गई...,हाँ सही है
Confirmation,यह जानकारी सही है?,Is this information correct?,सही confirmation,बिल्कुल सही... हाँ यह सही जानकारी है... बिल्कुल नोट कर लिया है...,बिल्कुल सही
Confirmation,क्या सब कुछ सही है?,Is everything correct?,सही confirmation,बिल्कुल सही... हाँ यह सही जानकारी है... बिल्कुल नोट कर लिया है...,हाँ बिल्कुल
General,अगला सवाल है...,Next question is...,transition next general,आगे बढ़ते हैं... ठीक है आगे बढ़ते हैं... अगला विषय है... ठीक है अगला सवाल है...,ठीक है
General,आगे बताइए...,Please tell more...,general acknowledgment,एक सेकंड... एक मिनट... एक पल इंतज़ार करें... आगे बताइए... आगे बढ़ते हैं...,हाँ
General,जारी रखें...,Please continue...,general transition,आगे बढ़ते हैं... ठीक है आगे बढ़ते हैं... अगला विषय है...,जी हाँ
Mixed,कितने रुपये और कब?,How much and when?,रुपये कब amount date,नोट कर लिया... हाँ नोट कर लिया... बिल्कुल सही नोट कर लिया...,5000 रुपये 15 दिसंबर को
Mixed,कैसे और क्यों?,How and why?,कैसे क्यों mode reason,समझ रहा है... जी ध्यान से सुन रहा है... बिल्कुल समझ रहा है...,ऑनलाइन ईएमआई

